author,mbti,introverted,intuitive,thinking,perceiving,gender,age,enneagram,country,state,type,agreeableness,openness,conscientiousness,extraversion,neuroticism,is_description,is_percentile,is_score,contains_details,num_comments,en_comments,en_comments_percentage,region,continent,country_code,enneagram_type,enneagram_wing,is_native_english_country,predicted_test,test_name,test_scale,16pers_ta,test_result_type,is_female,is_female_pred,is_female_proba
SharFinn,,,,,,,,,,,percentiles,65.0,96.0,83.0,77.0,44.0,,1,,1.0,2,2,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.4752438532961526
SharoninBavaria,entj,0.0,1.0,1.0,0.0,f,42.0,,,,percentiles,43.0,85.0,80.0,60.0,61.0,,1,,1.0,2,2,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,1.0,1,0.5477653646378199
Sharpes_Sword,isfj,1.0,0.0,0.0,0.0,,,,us,california,percentiles,93.0,91.0,96.0,4.0,21.0,,1,,,3938,3786,96.14017268,w,north america,us,,,1.0,0.0,personality assessor,percentiles,,percentiles,,0,0.007023552461474446
ShittyMcShitbreath,,,,,,,45.0,,,,percentiles,84.0,95.0,91.0,77.0,62.0,,,1.0,0.0,2109,2021,95.82740635,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.018641228257138667
ShockinglyAccurate,,,,,,m,18.0,,us,michigan,description,85.0,85.0,15.0,15.0,50.0,1.0,,,,7049,6675,94.69428288,mw,north america,us,,,1.0,0.0,ipip120,percentiles,,description,0.0,0,0.03151455947995403
ShrinkingWild,,,,,,,,,,,percentiles,11.0,64.0,0.0,0.0,16.0,,1,,1.0,28,28,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.08113251479899887
SilentSwordYE,,,,,,,15.0,,,,description,50.0,50.0,50.0,50.0,,1.0,,,,1040,937,90.09615385,,,,,,,0.0,qualtrics,percentiles,,description,,0,0.14473339563327586
Simcurious,entp,0.0,1.0,1.0,1.0,,,,eu,,scores,93.0,84.0,10.0,86.0,3.0,,,1.0,0.0,1502,1472,98.00266312,,europe,eu,,,0.0,1.0,outofservice,percentiles,,percentiles,,0,0.008066103407212425
Sinthemoon,intj,1.0,1.0,1.0,0.0,,,,canada,quebec,scores,39.0,56.0,46.0,52.0,52.0,,,1.0,1.0,3858,3275,84.88854329,ce,north america,ca,,,1.0,1.0,ipip120,percentiles,,percentiles,,0,0.08288379820915723
SkincareQuestions10,,,,,,,28.0,,,,percentiles,74.0,96.0,17.0,96.0,47.0,,1,,1.0,8181,7350,89.84231757,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.045156309520836636
Skinny_boi13,,,,,,,,,,,percentiles,13.0,26.0,45.0,9.0,88.0,,,1.0,1.0,111,105,94.59459459,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.12227396699219673
SlipperySalm0n,,,,,,,,,,,percentiles,0.0,89.0,0.0,4.0,96.0,,1,,1.0,161,150,93.16770186,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.01806667669342681
Smart-Monkey,,,,,,,,,,,scores,79.0,92.0,30.0,11.0,70.0,,,1.0,1.0,1309,1250,95.49274255,,,,,,,1.0,ipip300,percentiles,,percentiles,,0,0.11631783476920785
Smilemoreplz,,,,,,,,,,,percentiles,9.0,85.0,52.0,40.0,1.0,,1,,1.0,15,6,40.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.3268488403848339
Socrates666,,,,,,,30.0,,,,description,50.0,85.0,15.0,15.0,50.0,1.0,,,,3928,3746,95.36659878,,,,,,,1.0,outofservice,percentiles,,description,,0,0.09349792646116073
SonOfWolves95,infp,1.0,1.0,0.0,1.0,m,19.0,,us,,scores,96.0,92.0,30.0,13.0,72.0,,,1.0,1.0,3817,3711,97.22294996,,north america,us,,,1.0,1.0,ipip120,percentiles,,percentiles,0.0,0,0.033052658164288234
Sorcatarius,,,,,,m,30.0,,canada,british columbia,scores,65.0,54.0,67.0,58.0,21.0,,,1.0,0.0,14813,14588,98.48106393,cw,north america,ca,,,1.0,1.0,understand myself,percentiles,,percentiles,0.0,0,0.1517913588150245
SparklyRedLightsaber,,,,,,,,,,,scores,0.0,78.0,1.0,97.0,39.0,,,1.0,1.0,127,121,95.27559055,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.058966362291146025
Stainedview13,,,,,,,,,,,percentiles,6.0,89.0,56.0,47.0,84.0,,,1.0,1.0,76,72,94.73684211,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.17370064050538314
Stoic-Mentat,,,,,,m,,,,,description,50.0,85.0,85.0,15.0,85.0,1.0,,,1.0,819,799,97.55799756,,,,,,,0.0,understand myself,percentiles,,description,0.0,0,0.07136044799388581
Stratemagician,,,,,,,,,,,percentiles,63.0,65.0,60.0,38.0,28.0,,,1.0,0.0,402,389,96.76616915,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.026505463851050376
Strength_from_Within,,,,,,m,,,,,description,85.0,15.0,85.0,15.0,15.0,1.0,,,1.0,149,149,100.0,,,,,,,0.0,hexaco,percentiles,,description,0.0,1,0.6615084081126072
StyreotypicalLurker,,,,,,,,,,,percentiles,98.0,78.0,18.0,8.0,47.0,,,1.0,1.0,502,323,64.34262948,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.041153473904009114
Svanhvit,infp,1.0,1.0,0.0,1.0,t,,,,,percentiles,38.0,80.0,1.0,21.0,99.0,,,1.0,0.0,4159,4064,97.71579707,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.3680576445679031
SwitchToDecaf,infj,1.0,1.0,0.0,0.0,f,19.0,,,,percentiles,60.0,55.0,64.0,14.0,49.0,,,1.0,0.0,357,344,96.35854342,,,,,,,0.0,ipip120,percentiles,,percentiles,1.0,1,0.9140436756588102
T-888,,,,,,m,37.0,,,,percentiles,65.0,49.0,97.0,82.0,11.0,,1,,1.0,2815,2685,95.38188277,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.04563948355664277
TFCNU,,,,,,,,,,,scores,2.0,62.0,86.0,3.0,23.0,,,1.0,1.0,1221,1213,99.34479934,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.16242756074667214
Tea_Holic,entp,0.0,1.0,1.0,1.0,f,20.0,8w7,us,,scores,1.0,34.0,79.0,57.0,18.0,,,1.0,0.0,1312,1299,99.00914634,,north america,us,8.0,7.0,1.0,1.0,ipip120,percentiles,,percentiles,1.0,1,0.769740264852587
Tetha,,,,,,m,,,germany,,scores,70.0,48.0,56.0,12.0,58.0,,,1.0,1.0,9135,9064,99.22276957,,europe,de,,,0.0,1.0,ipip120,percentiles,,percentiles,0.0,0,0.012979663744274542
ThatThingInTheCorner,,,,,,m,17.0,,,,percentiles,83.0,52.0,38.0,5.0,99.0,,,1.0,1.0,3511,2605,74.19538593,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.0745624383581987
The-Constable,infj,1.0,1.0,0.0,0.0,m,,5w4,,,description,95.0,95.0,70.0,50.0,5.0,1.0,,,0.0,417,401,96.16306954,,,,5.0,4.0,,0.0,outofservice,percentiles,,description,0.0,0,0.02119297635125142
TheAmazingPeanut1,,,,,,,,,canada,,scores,85.0,50.0,23.0,53.0,74.0,,,1.0,0.0,115,113,98.26086957,,north america,ca,,,1.0,1.0,ipip300,percentiles,,percentiles,,0,0.12778028747626294
TheAspiringTitan,,,,,,m,18.0,,,,percentiles,11.0,83.0,23.0,18.0,78.0,,,1.0,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.24340686023023406
TheDoctorShrimp,,,,,,,,,netherlands,,percentiles,65.0,78.0,35.0,43.0,58.0,,,1.0,1.0,1892,1802,95.24312896,,europe,nl,,,0.0,0.0,understand myself,percentiles,,percentiles,,0,0.056629837624237775
TheInfernalRain,,,,,,,,,,,percentiles,12.0,72.0,1.0,1.0,98.0,,1,,1.0,2131,1903,89.30079775,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03490709089949348
TheLastHayley,,,,,,t,,,,,scores,40.0,70.0,50.0,90.0,90.0,,,1.0,0.0,914,905,99.01531729,,,,,,,1.0,understand myself,percentiles,,percentiles,,1,0.5258855935436799
TheProphetCrow,,,,,,,,,,,percentiles,17.0,65.0,2.0,9.0,53.0,,1,,1.0,56,55,98.21428571,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.3802266741731372
TheQuipton,,,,,,,,,,,percentiles,78.0,30.0,37.0,29.0,82.0,,,1.0,1.0,7449,6480,86.99154249,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03719382024873594
TheRealDonaldTrump__,,,,,,m,,,,,percentiles,9.0,92.0,80.0,91.0,6.0,,1,,1.0,688,670,97.38372093,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.02100966332288229
The_Bacon_Reader,,,,,,m,,,,,percentiles,71.0,80.0,31.0,88.0,10.0,,1,,1.0,2485,2365,95.17102616,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.042077199041889175
TheakashicKnight,,,,,,,,,,,percentiles,1.0,68.0,15.0,9.0,10.0,,1,,1.0,85,79,92.94117647,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.02218694391191293
Theartofwriting,,,,,,,,,,,percentiles,50.0,90.0,7.0,96.0,39.0,,1,,1.0,8,8,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.2639751750152047
Threctic,,,,,,f,19.0,,germany,,description,50.0,90.0,15.0,15.0,90.0,1.0,q,,,7083,5567,78.59663984,,europe,de,,,0.0,1.0,understand myself,percentiles,,description,1.0,1,0.6626406206688581
TigerP,,,,,,,,,poland,,scores,20.0,30.0,20.0,10.0,50.0,,,1.0,0.0,1204,1161,96.42857143,,europe,pl,,,0.0,1.0,123test,percentiles,,percentiles,,0,0.019114868845050016
Tilas,intj,1.0,1.0,1.0,0.0,f,31.0,,,,percentiles,13.0,8.0,61.0,1.0,85.0,,,1.0,0.0,4959,4902,98.85057471,,,,,,,0.0,ipip120,percentiles,,percentiles,1.0,1,0.7369350226883562
Time_Animal,,,,,,,,,,,percentiles,0.0,71.0,13.0,10.0,82.0,,1,,1.0,1587,1527,96.21928166,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.05388007801360671
TitusVI,,,,,,m,32.0,,germany,,description,70.0,50.0,5.0,5.0,85.0,1.0,,,1.0,5211,5057,97.04471311,,europe,de,,,0.0,0.0,understand myself,percentiles,,description,0.0,0,0.05267826021322543
TrixieBastard,,,,,,f,,,,,percentiles,95.0,41.0,0.0,27.0,36.0,,,1.0,0.0,120,117,97.5,,,,,,,0.0,ipip300,percentiles,,percentiles,1.0,0,0.21867630526761475
TubeFerret,,,,,,,,,,,percentiles,50.0,57.0,0.0,9.0,97.0,,1,,1.0,29,27,93.10344828,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.3084565528537619
Twinkle-Tits,,,,,,f,,,,,description,95.0,85.0,15.0,85.0,85.0,1.0,,,1.0,451,444,98.44789357,,,,,,,0.0,hexaco,percentiles,,description,1.0,1,0.9268772678117472
TwoPunnyFourWords,intp,1.0,1.0,1.0,1.0,,33.0,,,,scores,63.0,58.0,13.0,33.0,60.0,,,1.0,0.0,5247,5190,98.91366495,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.005521535670510976
Tyrant2468,,,,,,,,,,,percentiles,1.0,96.0,1.0,4.0,97.0,,1,,,20,19,95.0,,,,,,,1.0,ipip120,percentiles,,percentiles,,1,0.7210913945829452
Uhh_Political,,,,,,,,,,,scores,32.0,45.0,40.0,39.0,10.0,,,1.0,0.0,890,864,97.07865169,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.03251341927354315
Unseen_Creep,,,,,,,,,,,percentiles,10.0,90.0,40.0,10.0,40.0,,,1.0,0.0,859,831,96.74039581,,,,,,,0.0,123test,percentiles,,percentiles,,0,0.07277698652737506
Vacume1234,,,,,,,,,,,description,70.0,70.0,5.0,15.0,95.0,1.0,,,,15,14,93.33333333,,,,,,,0.0,understand myself,percentiles,,description,,0,0.3223612174929024
Valaha,,,,,,,,,,,percentiles,9.0,8.0,13.0,0.0,95.0,,1,,1.0,82,80,97.56097561,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.018533953306987015
VampyPoootyTang103,,,,,,,,,us,,percentiles,4.0,91.0,59.0,89.0,20.0,,1,,1.0,93,72,77.41935484,,north america,us,,,1.0,0.0,understand myself,percentiles,,percentiles,,0,0.2501446138867594
VelvetSphincter,,,,,,m,22.0,,,,percentiles,9.0,30.0,10.0,4.0,90.0,,1,,1.0,2820,2694,95.53191489,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.05273650171138872
Vespinian,,,,,,m,24.0,,,,percentiles,92.0,41.0,72.0,40.0,11.0,,,1.0,1.0,12,11,91.66666667,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.18032261154374432
Vineee2000,,,,,,,,,,,percentiles,26.0,8.0,52.0,75.0,3.0,,1,,1.0,189,185,97.88359788,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.0036341873048172414
Vixen_Lucina,infp,1.0,1.0,0.0,1.0,t,26.0,7w8,,,scores,98.0,40.0,1.0,1.0,99.0,,,1.0,0.0,4975,4935,99.19597990000001,,,,7.0,8.0,,1.0,outofservice,percentiles,,percentiles,,1,0.6058311179853176
Vodkashower,,,,,,,,,,,percentiles,57.0,2.0,72.0,77.0,56.0,,1,,1.0,2,2,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.4565850514479293
VorpalPen,,,,,,m,32.0,,us,arizona,percentiles,56.0,62.0,46.0,5.0,68.0,,1,,,954,924,96.85534591,sw,north america,us,,,1.0,1.0,personality assessor,percentiles,,percentiles,0.0,0,0.0401764213643574
VowelmanIscariot,,,,,,,,,,,percentiles,32.0,51.0,4.0,27.0,99.0,,,1.0,1.0,775,598,77.16129032,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.058861657125968775
Vuz4n,infj,1.0,1.0,0.0,0.0,,20.0,,,,description,50.0,85.0,15.0,15.0,50.0,1.0,,,,196,188,95.91836735,,,,,,,0.0,qualtrics,percentiles,,description,,0,0.30570619273920296
Wasp2374,,,,,,m,17.0,,,,description,50.0,85.0,50.0,50.0,15.0,1.0,,,,1874,1822,97.22518677,,,,,,,0.0,qualtrics,percentiles,,description,0.0,0,0.1074499720555503
WeHaveSomeQuestions,intp,1.0,1.0,1.0,1.0,m,26.0,,,,percentiles,39.0,96.0,11.0,37.0,88.0,,1,,1.0,1662,1578,94.94584838,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.043725888380067496
Wedonegoofed,intp,1.0,1.0,1.0,1.0,m,20.0,,,,percentiles,44.0,73.0,2.0,5.0,84.0,,,1.0,0.0,5922,5478,92.50253293,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.031938815889436006
WheresFreudAt,,,,,,,,,,,percentiles,31.0,90.0,2.0,30.0,98.0,,1,,1.0,281,269,95.72953737,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.02251201860954204
WhyDoCatsBark,entj,0.0,1.0,1.0,0.0,m,,,,,percentiles,1.0,22.0,74.0,15.0,78.0,,,1.0,0.0,1195,1073,89.79079498,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.00922712251743654
WhySoOverHeated,,,,,,f,,,,,percentiles,71.0,75.0,52.0,94.0,86.0,,1,,1.0,263,253,96.19771863,,,,,,,1.0,understand myself,percentiles,,percentiles,1.0,1,0.9410918767569468
WineRedPsy,,,,,,m,17.0,,,,percentiles,22.0,98.0,1.0,73.0,99.0,,,1.0,1.0,6886,4962,72.05925065,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.03938908002480978
WiseGains,,,,,,,20.0,,,,percentiles,20.0,27.0,88.0,93.0,11.0,,1,,1.0,726,706,97.24517906,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.3349391230319834
WittyOriginalName,entp,0.0,1.0,1.0,1.0,m,37.0,7w8,,,description,15.0,85.0,15.0,85.0,15.0,1.0,,,,47062,46222,98.21512048,,,,7.0,8.0,,1.0,personality assessor,percentiles,,description,0.0,0,0.22488681191209486
Xaielao,infp,1.0,1.0,0.0,1.0,m,45.0,,,,percentiles,78.0,57.0,38.0,31.0,10.0,,1,,,7609,7490,98.43606256,,,,,,,0.0,personality assessor,percentiles,,percentiles,0.0,0,0.03662627076364874
Xipu,,,,,,,,,,,percentiles,74.0,95.0,11.0,94.0,0.0,,1,,1.0,9,9,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.3948535491851417
YESdude97,,,,,,,21.0,,,,percentiles,92.0,83.0,69.0,10.0,44.0,,1,,1.0,28,28,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.9885422565503736
YaseenNoorani,,,,,,m,,,,,percentiles,0.0,20.0,15.0,22.0,6.0,,1,,1.0,121,118,97.52066116,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.1462958262007527
YoungMackers,,,,,,,21.0,,,,percentiles,2.0,96.0,78.0,34.0,1.0,,1,,1.0,2,2,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.43110564891368186
Yousuflol,,,,,,,17.0,,,,percentiles,74.0,49.0,65.0,34.0,74.0,,1,,1.0,151,142,94.03973509999999,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.0923790138797926
YuberiTii,intp,1.0,1.0,1.0,1.0,,,,,,percentiles,0.0,95.0,1.0,22.0,22.0,,1,,1.0,171,163,95.32163743,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.07164530083498523
Yuluyie,,,,,,,,,,,percentiles,78.0,20.0,50.0,21.0,37.0,,1,,,198,86,43.43434343,,,,,,,0.0,personality assessor,percentiles,,percentiles,,1,0.9415322431125333
Z-DUBs,,,,,,f,,,us,,percentiles,74.0,45.0,20.0,25.0,25.0,,1,,1.0,127,122,96.06299213,,north america,us,,,1.0,0.0,understand myself,percentiles,,percentiles,1.0,0,0.3063010885271725
ZachWaldman,,,,,,,,,,,percentiles,65.0,98.0,56.0,98.0,87.0,,,1.0,1.0,7,7,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.10369874212096387
Zig_dan,intp,1.0,1.0,1.0,1.0,,,,,,scores,30.0,68.0,26.0,11.0,49.0,,,1.0,0.0,54,50,92.59259259,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.03220952593134982
Zoto888,,,,,,,,,,,percentiles,6.0,71.0,75.0,17.0,1.0,,,1.0,1.0,7280,6970,95.74175824,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.009865272394644974
Zulgyan,,,,,,,,,,,percentiles,26.0,91.0,8.0,57.0,44.0,,,1.0,0.0,8,5,62.5,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.5360177388828172
_AnObviousThrowaway_,,,,,,,,,,,percentiles,77.0,70.0,68.0,63.0,84.0,,,1.0,0.0,3696,3638,98.43073593,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.013437038253923615
_RoryKW,,,,,,,,,,,description,50.0,85.0,85.0,50.0,85.0,1.0,,,,98,98,100.0,,,,,,,1.0,ipip120,percentiles,,description,,1,0.5391659383327426
__apple__,,,,,,,,,,,percentiles,15.0,37.0,63.0,82.0,6.0,,1,,1.0,112,104,92.85714286,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.11108177109648934
__cunty__,,,,,,,,,,,scores,67.0,75.0,83.0,83.0,23.0,,,1.0,0.0,6378,5726,89.77735967,,,,,,,1.0,ipip120,percentiles,,percentiles,,1,0.9409349759734128
__johnbot__,,,,,,,,,,,percentiles,20.0,92.0,0.0,72.0,4.0,,1,,1.0,11,11,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.2866652297732151
_pharaoh,infj,1.0,1.0,0.0,0.0,m,20.0,,,,percentiles,52.0,54.0,9.0,5.0,81.0,,,1.0,1.0,1102,1052,95.46279492,,,,,,,0.0,ipip300,percentiles,,percentiles,0.0,0,0.059485521305097815
ab1138,,,,,,,,,,,percentiles,35.0,18.0,0.0,50.0,94.0,,1,,1.0,2,2,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.4900547725344766
aelendel,,,,,,,,,,,scores,74.0,65.0,17.0,79.0,1.0,,,1.0,0.0,15637,15331,98.04310290000001,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.01933405671802272
agm66,,,,,,m,51.0,,,,percentiles,90.0,82.0,31.0,5.0,58.0,,1,,,2656,2620,98.64457831,,,,,,,0.0,personality assessor,percentiles,,percentiles,0.0,0,0.17171624441803915
ahhwoodrow,,,,,,,32.0,,,,percentiles,41.0,43.0,44.0,14.0,17.0,,1,,,738,660,89.43089431,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.3163789901723405
akeinator,,,,,,,,,,,percentiles,82.0,78.0,1.0,25.0,74.0,,,1.0,1.0,8,8,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.428238824483762
alcoholicthrowaway32,,,,,,,,,,,description,15.0,95.0,15.0,15.0,85.0,1.0,,,,23,23,100.0,,,,,,,1.0,understand myself,percentiles,,description,,1,0.6562294882217282
alex-moita,infj,1.0,1.0,0.0,0.0,m,33.0,,,,percentiles,24.0,77.0,4.0,18.0,74.0,,,1.0,0.0,116,108,93.10344828,,,,,,,0.0,ipip120,percentiles,t,percentiles,0.0,0,0.030020064993261236
alex_steppenwolf,,,,,,,,,,,percentiles,50.0,53.0,1.0,5.0,87.0,,1,,1.0,479,438,91.44050104,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.039017583235244686
alexwagbo,,,,,,,,,,,percentiles,18.0,15.0,36.0,1.0,1.0,,,1.0,1.0,4494,3987,88.71829105,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03572979146613139
amathyx,,,,,,,24.0,,,,description,15.0,15.0,15.0,15.0,85.0,1.0,,,,4631,4413,95.29259339,,,,,,,0.0,qualtrics,percentiles,,description,,0,0.0332480731275276
amay330,entp,0.0,1.0,1.0,1.0,f,19.0,,,,percentiles,52.5,64.5,45.0,61.5,38.5,,,1.0,1.0,179,177,98.88268156,,,,,,,0.0,ipip120,percentiles,,percentiles,1.0,1,0.9063185582254396
amazo13,,,,,,,,,,,percentiles,57.0,91.0,7.0,34.0,1.0,,1,,1.0,68,68,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.31873608244599744
amuredem,,,,,,,,,,,percentiles,57.0,97.0,17.0,77.0,96.0,,1,,1.0,293,292,99.65870307,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.6954784514971235
andnowmywatchbegins_,,,,,,,,,,,percentiles,61.0,85.0,97.0,96.0,13.0,,1,,1.0,170,155,91.17647059,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.1756733890594759
anmille3,,,,,,,,,,,percentiles,73.0,0.0,74.0,17.0,91.0,,1,,,79,74,93.67088608,,,,,,,0.0,personality assessor,percentiles,,percentiles,,1,0.9573378234012476
anomaly023,intj,1.0,1.0,1.0,0.0,m,,,,,scores,1.0,90.0,86.0,1.0,47.0,,,1.0,0.0,2166,2063,95.24469067,,,,,,,1.0,ipip120,percentiles,,percentiles,0.0,0,0.08547591014275321
another_guy_montag,,,,,,,,,,,scores,73.0,49.0,1.0,1.0,100.0,,,1.0,0.0,2707,2334,86.22090876,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.1950483977005021
anthrolooksee,,,,,,,,,,,description,50.0,85.0,85.0,15.0,15.0,1.0,,,1.0,3421,3242,94.76761181,,,,,,,1.0,understand myself,percentiles,,description,,1,0.6712422074108985
antisocialbjj,,,,,,,29.0,,,,percentiles,43.0,53.0,2.0,18.0,67.0,,1,,1.0,1,1,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,1,0.6321639774562992
antoineks,,,,,,m,,,,,percentiles,3.0,83.0,35.0,34.0,13.0,,1,,1.0,66,65,98.48484848,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.1237387505212844
arakuma,intj,1.0,1.0,1.0,0.0,f,20.0,,,,percentiles,1.0,46.0,93.0,1.0,64.0,,,1.0,0.0,469,452,96.37526652,,,,,,,0.0,ipip120,percentiles,,percentiles,1.0,1,0.6811273549417508
aristotleschild,,,,,,,,,us,,percentiles,53.0,85.0,50.0,23.0,65.0,,,1.0,0.0,2624,2371,90.35823171,,north america,us,,,1.0,0.0,understand myself,percentiles,,percentiles,,0,0.03632195287838445
arrangementscanbemad,,,,,,,33.0,,,,description,85.0,85.0,85.0,50.0,15.0,1.0,,,,2317,2260,97.53992231,,,,,,,1.0,ipip120,percentiles,,description,,0,0.007955701355903386
athanaton,,,,,,,,,,,percentiles,99.0,90.0,44.0,14.0,97.0,,,1.0,1.0,4037,3853,95.44216002,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03883506988180288
atomikitten13,,,,,,m,,,,,scores,25.0,59.0,24.0,47.0,20.0,,,1.0,1.0,1466,1291,88.06275579999998,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.0371419514694203
ayres88,entj,0.0,1.0,1.0,0.0,,22.0,,brasil,,percentiles,0.0,37.0,75.0,88.0,2.0,,1,,1.0,1113,1008,90.56603774,,south america,br,,,0.0,0.0,understand myself,percentiles,,percentiles,,0,0.05357095952175812
b3g8fk3,,,,,,,,,,,description,15.0,50.0,15.0,15.0,85.0,1.0,,,1.0,218,205,94.03669725,,,,,,,1.0,ipip120,percentiles,,description,,0,0.13713744464275435
babalu32,,,,,,m,43.0,,,,percentiles,11.0,71.0,31.0,28.0,98.0,,,1.0,1.0,1215,428,35.22633745,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.19636469584128968
barbellbunnyj,,,,,,f,21.0,,,,percentiles,13.0,83.0,23.0,31.0,97.0,,1,,1.0,93,90,96.77419355,,,,,,,0.0,understand myself,percentiles,,percentiles,1.0,0,0.3705061423473582
batteredalmond,intp,1.0,1.0,1.0,1.0,f,,,,,scores,18.0,88.0,10.0,30.0,50.0,,,1.0,0.0,1469,1356,92.30769231,,,,,,,1.0,outofservice,percentiles,,percentiles,1.0,0,0.3832423107215711
bdsmthrowthrowthrow,,,,,,m,,,,,description,15.0,15.0,15.0,50.0,15.0,1.0,,,1.0,39,39,100.0,,,,,,,0.0,hexaco,percentiles,,description,0.0,1,0.5688341843850958
beekeepersmyth,,,,,,,,,,,percentiles,46.0,96.0,23.0,98.0,94.0,,1,,1.0,15,15,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.5114090063743052
belgianpancakes,infp,1.0,1.0,0.0,1.0,,,,netherlands,,percentiles,93.0,73.0,38.0,12.0,82.0,,,1.0,0.0,151,148,98.01324503,,europe,nl,,,0.0,0.0,ipip300,percentiles,,percentiles,,1,0.9947509946865891
beloiseau,xnfx,,1.0,0.0,,f,20.0,,,,percentiles,61.0,73.0,54.0,17.0,20.0,,,1.0,1.0,1924,1799,93.5031185,,,,,,,0.0,ipip300,percentiles,,percentiles,1.0,1,0.5756438252417962
bendtowardsthesun,,,,,,f,23.0,,,,description,85.0,85.0,15.0,50.0,,1.0,,,,238,237,99.57983193,,,,,,,0.0,ipip120,percentiles,,description,1.0,1,0.9774646597108678
benevolentcannibal,intp,1.0,1.0,1.0,1.0,m,26.0,,,,percentiles,80.0,90.0,15.0,4.0,26.0,,1,,1.0,218,214,98.16513761,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.11939619934548942
